category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,Al1 Li1 O4 Si1,37278,180,mp-14399,20951,181,mp-6326,2.12e-06,0.0009,0.00207,"(0.00825,0.0152)",similar
diff. SGs,O3 V2,5700,167,mp-18937,25494,15,mp-715514,0.0015,0.0865,0.0198,"(0.0285,0.0323)",similar
diff. SGs,O3 V2,85484,9,mp-553955,26262,167,mp-714906,0.0439,0.0029,1.92,"(0.0594,0.0897)",different
diff. SGs,Cd1 O3 Ti1,85236,26,mp-20940,40601,33,mp-5052,0.000608,0.0308,0.0306,"(0.115,0.208)",similar
diff. SGs,Cd1 O3 Ti1,85236,26,mp-20940,37894,62,mp-14550,0.00414,0.337,0.103,"(0.0307,0.05)",different
diff. SGs,Cd1 O3 Ti1,40601,33,mp-5052,37894,62,mp-14550,0.00353,0.306,0.134,"(0.113,0.167)",different
diff. SGs,O3 U1,84780,65,mp-233,7836,164,mp-8134,0.0828,1.17,0.791,"(0.207,0.293)",different
diff. SGs,N1 S1,15714,14,mp-542738,43893,60,mp-555136,0.00187,0.0299,0.32,"(0.104,0.152)",similar
diff. SGs,Cu1 O2,1066,63,mp-601195,154129,69,mp-704690,0.000373,0.23,5.53,"(0.108,0.109)",different
diff. SGs,O2 Si1,14340,96,mp-7029,1875,92,mp-6945,0.000186,0.285,0.00382,"(0.124,0.15)",different
diff. SGs,Ba1 Mn1 O3,21678,185,mp-19267,11354,194,mp-19156,0.0077,0.143,0.239,"(0.0373,0.0584)",different
diff. SGs,Cd1 Te1,1077,186,mp-12779,86988,36,mp-685146,0.00113,0.0036,0.0754,"(0.119,0.126)",similar
same SGs,O2 Si1,24631,60,mp-559741,4040,60,mp-10948,0.000197,0.0576,0.00455,,
diff. SGs,O2 Te1,10710,96,mp-2739,9176,19,mp-561224,0.00163,0.181,0.0417,"(0.0758,0.0896)",different
diff. SGs,O2 Te1,10710,96,mp-2739,826,92,mp-557,2.25e-05,0,0.0153,"(0.0127,0.0153)",similar
diff. SGs,O2 Te1,9176,19,mp-561224,826,92,mp-557,0.00161,0.181,0.0571,"(0.0756,0.0885)",different
diff. SGs,Mn2 Ni1 O4,150457,141,mp-622693,17675,227,mp-32011,0.125,0,0.247,"(0.0264,0.0421)",different
diff. SGs,La1 Mn1 O3,873,15,mp-19157,786,167,mp-19168,0.00153,0.0135,0.0346,"(0.0543,0.0755)",similar
diff. SGs,Cu1 Ge1 O3,86705,64,mp-561216,11359,51,mp-21344,0.00377,0.111,0.121,"(0.0412,0.066)",different
diff. SGs,Te1,84733,51,mp-105,84711,221,mp-10654,0.00183,0,0.125,"(0,0)",similar
diff. SGs,Te1,47759,154,mp-567313,85687,12,mp-570459,0.0408,0.494,1.96,"(0.0829,0.1)",different
diff. SGs,Te1,47759,154,mp-567313,4141,152,mp-19,7.27e-05,0.0145,0.181,"(0.00967,0.00967)",similar
diff. SGs,Te1,85687,12,mp-570459,4141,152,mp-19,0.0409,0.479,2.14,"(0.0916,0.109)",different
diff. SGs,O4 Pb1 W1,152138,1,mp-703260,2413,88,mp-25176,0.00362,0.0586,0.072,"(0.0646,0.0988)",similar
diff. SGs,H2 O4 P1 Rb1,87983,43,mp-23667,102869,122,mp-642831,0.00602,0.171,0.366,"(0.0612,0.116)",different
diff. SGs,Ca1,84719,139,mp-166,19451,229,mp-21,0.000253,0.0064,0.0448,"(0,0)",similar
diff. SGs,C1 Li2 Mn1 O7 P1,160597,2,mp-769717,87832,11,mp-25563,0.000416,0.194,0.193,"(0.142,0.297)",different
diff. SGs,Cu3 O8 Pb2 Sr2 Y1,39251,2,mp-554200,101895,17,mp-643629,0.00344,0.0714,0.639,"(0.0586,0.25)",similar
diff. SGs,Cu3 O8 Pb2 Sr2 Y1,39247,26,mp-578628,101895,17,mp-643629,0.0223,0.0612,1.03,"(0.0764,0.287)",different
diff. SGs,Fe1 S1,12802,186,mp-616476,9180,62,mp-21410,0.0317,0.0219,1.19,"(0.0242,0.0322)",different
diff. SGs,Fe1 S1,12802,186,mp-616476,174872,164,mp-849057,0.078,0,0.313,"(0.0331,0.0437)",different
diff. SGs,Fe1 S1,12802,186,mp-616476,7482,194,mp-2099,0.0577,0,1.23,"(0.0227,0.0388)",different
diff. SGs,Fe1 S1,9180,62,mp-21410,174872,164,mp-849057,0.0462,0.0219,0.874,"(0.0283,0.0365)",different
diff. SGs,Fe1 S1,9180,62,mp-21410,7482,194,mp-2099,0.0259,0.0219,2.42,"(0.0292,0.0361)",different
diff. SGs,Fe1 S1,174872,164,mp-849057,7482,194,mp-2099,0.0203,0,1.54,"(0.0241,0.0341)",different
diff. SGs,Ge1 Te1,23507,225,mp-2612,3629,160,mp-938,0.016,0.384,1.02,"(0.0457,0.0457)",different
diff. SGs,Li1 Nb1 O3,43010,167,mp-552588,96,161,mp-3731,0.0335,1.01,0.0175,"(0.124,0.224)",different
diff. SGs,Ge1 O2,28466,154,mp-223,14658,152,mp-733,7.39e-05,0.0008,0.0256,"(0.000874,0.00107)",similar
diff. SGs,Co1 La1 O3,86868,2,mp-561922,2778,167,mp-19051,0.0185,0.0367,0.27,"(0.0412,0.0644)",different
diff. SGs,Hf1 O3 Sr1,35057,74,mp-13109,35058,140,mp-3721,0.00338,0.0685,0.00322,"(0.0952,0.15)",similar
diff. SGs,Hf1 O3 Sr1,35056,63,mp-4673,16167,62,mp-3378,0.00445,0.213,0.0279,"(0.112,0.194)",different
diff. SGs,Hf1 O3 Sr1,4115,99,mp-13108,3531,221,mp-4551,5.33e-05,0.0035,0.0169,"(0.0459,0.0794)",similar
diff. SGs,Cl4 Cr1 Rb2,11130,139,mp-570910,152535,12,mp-676398,0.00027,0.293,0.346,"(0.0277,0.046)",different
diff. SGs,H2 Ni1 O2,151133,166,mp-626794,151131,5,mp-626843,0.00966,0.0426,0.00766,"(0.121,0.168)",similar
diff. SGs,H2 Ni1 O2,88411,164,mp-32403,150481,5,mp-625081,0.0112,0.0555,0.0206,"(0.183,0.26)",different
diff. SGs,O2 Sn1,24216,58,mp-550172,3006,136,mp-856,0.0023,0.154,0.0362,"(0.0573,0.0702)",different
diff. SGs,H2 O4 U1,151153,36,mp-626885,90010,64,mp-626864,0.00324,0.223,0.0454,"(0.0655,0.132)",different
diff. SGs,N3 Na1,8174,166,mp-22003,2315,12,mp-570538,0.00183,0.082,0.0403,"(0.0296,0.0419)",similar
diff. SGs,Cu1 O1,84594,131,mp-1692,154273,15,mp-704645,0.00451,0,0.0234,"(0.028,0.0396)",similar
diff. SGs,O3 Pb2,153180,6,mp-690722,152051,12,mp-655547,0.00432,0.0451,0.239,"(0.0235,0.047)",similar
diff. SGs,O2 Sb1,10862,33,mp-230,4827,52,mp-560098,0.00113,0.0227,0.0639,"(0.122,0.18)",similar
diff. SGs,F3 La1,5909,185,mp-334,2422,165,mp-905,0.000626,0.0023,0.0078,"(0.0716,0.101)",similar
diff. SGs,F3 La1,4944,225,mp-13181,2423,139,mp-323,0.00935,0.0496,0.0328,"(3.68e-16,6.07e-16)",similar
diff. SGs,Ba1 Bi1 O3,12129,225,mp-23438,1391,148,mp-23482,0.0223,0.0328,0.115,"(0.0873,0.112)",different
diff. SGs,Ba1 Bi1 O3,12129,225,mp-23438,1390,12,mp-22942,0.0235,0.0554,0.0839,"(0.104,0.134)",different
diff. SGs,Ba1 Bi1 O3,1391,148,mp-23482,1390,12,mp-22942,0.00124,0.0226,0.0313,"(0.0648,0.121)",similar
diff. SGs,Nb1 O5 P1,37138,33,mp-556918,13029,62,mp-5803,0.000686,0.094,0.0705,"(0.0664,0.119)",similar
diff. SGs,Be1 F2,42628,152,mp-15951,9581,180,mp-558118,3.44e-06,0.237,0.834,"(0.14,0.166)",different
diff. SGs,Cr1 O9 P3,37097,9,mp-566776,44072,15,mp-566761,0.0011,0.0506,0.0791,"(0.0987,0.237)",similar
diff. SGs,Br1 Cu1,86058,119,mp-32880,7616,216,mp-22913,0.00455,0.0379,0.0582,"(7.8e-17,7.8e-17)",similar
diff. SGs,Co2 O5 Sr2,35161,46,mp-549498,85703,1,mp-556076,0.0048,0.161,0.0426,"(0.0607,0.148)",different
diff. SGs,Co1 O1,84828,139,mp-19275,2325,225,mp-19079,0.304,0.0046,0.073,"(1.19e-06,1.19e-06)",different
diff. SGs,Pr1,85086,8,mp-20537,23289,225,mp-97,0.00251,0.0529,0.0952,"(0,0)",similar
diff. SGs,Fe2 Mo3 O12,46202,4,mp-704851,40739,14,mp-706565,7.79e-05,0.0045,0.0349,"(0.0438,0.172)",similar
diff. SGs,H2 Mo1 O4,151058,2,mp-626577,150688,1,mp-625600,0.000805,0.0402,0.162,"(0.117,0.292)",similar
diff. SGs,Al1 Ce1 O3,5569,167,mp-3408,5568,74,mp-19843,0.00402,0.0055,0.0201,"(0.0577,0.0892)",similar
diff. SGs,Al1 Ce1 O3,5569,167,mp-3408,5266,140,mp-4096,0.00379,0.0057,0.02,"(0.0629,0.0871)",similar
diff. SGs,Al1 Ce1 O3,5568,74,mp-19843,5266,140,mp-4096,0.00781,0.0002,0.0401,"(0.0775,0.148)",similar
diff. SGs,Na1 O3 Ta1,42010,63,mp-4699,905,62,mp-3858,0.00141,0.233,0.0522,"(0.0748,0.115)",different
diff. SGs,H3 La1 O3,150739,1,mp-625788,150733,173,mp-625733,0.000626,0.0143,0.141,"(0.146,0.279)",similar
diff. SGs,H3 La1 O3,150739,1,mp-625788,150631,11,mp-625406,0.000801,0.249,0.178,"(0.166,0.279)",different
diff. SGs,H3 La1 O3,150733,173,mp-625733,150631,11,mp-625406,0.000175,0.263,0.319,"(0.193,0.212)",different
diff. SGs,H3 La1 O3,150631,11,mp-625406,94599,176,mp-625394,0.0014,0.0407,0.239,"(0.138,0.251)",similar
diff. SGs,K1 Li1 O4 S1,12980,9,mp-6318,10300,159,mp-6800,8.6e-05,0.0066,0.00414,"(0.0843,0.134)",similar
diff. SGs,Na1 O5 V2,34311,31,mp-505821,43938,42,mp-565227,0.00379,0.784,0.129,"(0.139,0.235)",different
diff. SGs,Na1 O5 V2,34311,31,mp-505821,18397,59,mp-19111,0.0129,0.811,0.22,"(0.138,0.23)",different
diff. SGs,Na1 O5 V2,43938,42,mp-565227,18397,59,mp-19111,0.00907,0.027,0.0915,"(0.0148,0.029)",similar
diff. SGs,Mo2 O12 P3,85024,5,mp-32077,86920,1,mp-32055,0.00278,0.177,0.0775,"(0.0517,0.103)",different
diff. SGs,Mo2 O12 P3,85024,5,mp-32077,49767,2,mp-32094,0.00174,0.0982,0.0331,"(0.124,0.217)",similar
diff. SGs,Mo2 O12 P3,86920,1,mp-32055,49767,2,mp-32094,0.00452,0.276,0.0445,"(0.0986,0.19)",different
diff. SGs,I1 Li1 O3,23523,182,mp-545343,9024,173,mp-613442,0.238,3.69,2.56,"(0.182,0.216)",different
diff. SGs,I1 Li1 O3,23523,182,mp-545343,8300,173,mp-22955,0.239,3.65,2.64,"(0.176,0.211)",different
diff. SGs,O8 U3,84595,65,mp-698,1714,189,mp-308,0.0031,0.0662,0.0738,"(0.0963,0.203)",similar
diff. SGs,Ba1 O4 W1,85883,63,mp-566504,34404,11,mp-641366,0.00513,0.239,0.53,"(0.0502,0.0864)",different
diff. SGs,F1 Tl1,86520,39,mp-558134,26379,129,mp-557835,0.000633,0.0242,0.0927,"(0.0255,0.0289)",similar
diff. SGs,O3 Sr1 Te1,152109,2,mp-667421,151964,9,mp-647158,0.000125,0.0685,0.00881,"(0.0137,0.0279)",similar
diff. SGs,C1 Li1 Na1 O3,41187,1,mp-556783,39892,174,mp-559533,3.15e-05,0.054,0.0598,"(0.0549,0.13)",similar
same SGs,Cu1 F3 K1,152123,140,mp-669347,7704,140,mp-3682,0.00413,0.111,0.24,,
diff. SGs,C2 Ca1,151768,2,mp-642822,21991,12,mp-917,0.0103,0.16,0.128,"(0.136,0.142)",different
diff. SGs,C2 Ca1,21991,12,mp-917,21990,15,mp-1575,0.000766,0.32,0.0466,"(0.123,0.147)",different
diff. SGs,F4 Na1 Y1,87315,174,mp-37267,85035,143,mp-34806,0.000103,0.0358,0.0258,"(0.0118,0.0397)",similar
diff. SGs,Cl3 Ti1,45048,163,mp-567330,45050,15,mp-571424,0.00135,0.0319,0.497,"(0.0426,0.0554)",similar
diff. SGs,Br4 Rb2 Zn1,34964,62,mp-570168,28187,14,mp-636598,0.00365,0.0376,0.154,"(0.0749,0.117)",similar
diff. SGs,Ca1 O3 Ti1,85408,74,mp-556003,1719,140,mp-3442,0.00745,0.234,0.00139,"(0.111,0.166)",different
diff. SGs,Mo2 O13 P3,86800,9,mp-540536,86740,15,mp-705358,0.0172,1.5,0.368,"(0.0199,0.0415)",different
diff. SGs,Ce1,22961,194,mp-20736,18713,63,mp-64,0.0489,0.0185,0.53,"(0.124,0.124)",different
diff. SGs,O13 V6,154941,63,mp-715617,10075,69,mp-566482,0.00414,0.276,0.0962,"(0.0434,0.0675)",different
diff. SGs,O13 V6,16989,12,mp-18896,84953,8,mp-19457,0.00253,0.337,0.0322,"(0.0978,0.25)",different
diff. SGs,Fe3 S4,41682,227,mp-21515,174898,166,mp-850016,0.0185,0.0019,0.172,"(0.031,0.0447)",different
diff. SGs,H1 Li2 N1,52416,160,mp-35695,51470,44,mp-34465,0.0213,0.294,0.23,"(0.105,0.182)",different
diff. SGs,F5 K2 Sb1,85619,14,mp-613518,37176,63,mp-3379,0.0392,0.0938,0.988,"(0.231,0.299)",different
diff. SGs,Bi1 O3 Sc1,85345,15,mp-555769,31923,9,mp-555313,0.000173,0.0238,0.0109,"(0.0377,0.0653)",similar
diff. SGs,Ce1 O4 P1,7579,181,mp-557624,9248,180,mp-8382,0.000105,0.0006,0.0123,"(0.000704,0.000863)",similar
diff. SGs,N1 Ta1,47586,191,mp-1497,25697,189,mp-1279,0.447,0,0.155,"(0.175,0.248)",different
diff. SGs,Ba1 Fe2 S4,152468,97,mp-676036,152289,79,mp-675078,0.0238,0,1.66,"(0.161,0.286)",different
diff. SGs,Ba1 Fe2 S4,152289,79,mp-675078,45255,87,mp-27660,0.0043,0,0.181,"(0.0474,0.107)",similar
diff. SGs,Mn4 O12 P3,87351,9,mp-585388,49579,161,mp-705354,0.00639,0.146,0.0485,"(0.0262,0.0486)",different
diff. SGs,K2 Mn2 O12 S3,40839,19,mp-565471,34770,198,mp-19525,0.00121,0.511,0.237,"(0.147,0.25)",different
diff. SGs,Cd1 H2 O2,150684,5,mp-625565,123988,164,mp-625548,0.0107,0.149,0.101,"(0.159,0.216)",different
diff. SGs,F1 O1 Y1,151650,12,mp-634896,7714,166,mp-3637,0.449,0.0853,1.07,"(0.0904,0.102)",different
diff. SGs,F3 Sc1,23002,221,mp-10694,8375,155,mp-559092,0.00203,0.0304,0.0107,"(0.0253,0.0292)",similar
diff. SGs,Co2 O4 Si1,85428,14,mp-555558,7207,62,mp-25474,0.0271,0.299,0.0266,"(0.0117,0.0339)",different
diff. SGs,H1 K2 N1 O6 S2,56980,9,mp-695383,90921,15,mp-706912,0.00551,0.207,0.226,"(0.0767,0.251)",different
diff. SGs,I1,97108,139,mp-601148,151717,71,mp-639751,0.0444,0,5.01,"(0,0)",different
diff. SGs,O8 P2 Pb3,8523,12,mp-553956,8082,166,mp-22750,0.000723,0.055,0.104,"(0.0357,0.0561)",similar
diff. SGs,O5 V3,26257,15,mp-542441,154920,9,mp-714911,0.0228,1.02,0.058,"(0.0222,0.0358)",different
diff. SGs,H1 O1 Rb1,100340,11,mp-643043,151106,4,mp-626721,0.00634,0.242,0.538,"(0.121,0.17)",different
diff. SGs,H1 O1 Rb1,100340,11,mp-643043,100339,36,mp-626620,0.00797,0.232,0.671,"(0.118,0.144)",different
diff. SGs,H1 O1 Rb1,151106,4,mp-626721,100339,36,mp-626620,0.00163,0.0102,0.134,"(0.0686,0.0835)",similar
diff. SGs,Bi2 O9 Sr1 Ta2,24091,41,mp-559951,23918,36,mp-23089,0.00936,0.189,0.0236,"(0.11,0.235)",different
diff. SGs,Cu2 O4 W1,85451,2,mp-505402,40965,1,mp-622026,0.00519,0.0378,0.22,"(0.0815,0.127)",similar
diff. SGs,Cu1 S1,4900,194,mp-504,10597,63,mp-555599,0.000404,0,0.00459,"(0.0427,0.0742)",similar
diff. SGs,Cr2 O12 P3,85217,167,mp-540211,49417,148,mp-540340,0.00368,0.01,0.175,"(0.155,0.229)",similar
diff. SGs,Cr2 O12 P3,85217,167,mp-540211,49357,2,mp-540317,0.00393,0.021,0.175,"(0.129,0.218)",similar
diff. SGs,Ba1 O3 Pr1,4867,74,mp-6909,4868,167,mp-6910,0.0055,0.0141,0.00386,"(0.0591,0.086)",similar
diff. SGs,Cr2 O12 P3,49428,60,mp-540345,49315,14,mp-540294,0.000633,0.0862,0.372,"(0.125,0.226)",similar
diff. SGs,Cr2 O12 P3,49417,148,mp-540340,49357,2,mp-540317,0.000249,0.011,0.000565,"(0.0674,0.141)",similar
diff. SGs,Ag1 In1 Se2,153116,43,mp-686712,51929,141,mp-35071,0.00146,0.0403,0.0294,"(0.0339,0.0475)",similar
diff. SGs,Li1 Ni2 O4,88590,148,mp-504102,88291,227,mp-632491,0.0203,0.0084,0.0686,"(0.0417,0.0623)",different
diff. SGs,Ca1 H2 O2,88055,164,mp-23879,151085,5,mp-626644,0.00923,0.157,0.0956,"(0.156,0.215)",different
diff. SGs,Fe1 O4 Sb2,2307,14,mp-601696,2306,135,mp-510588,0.119,0.224,0.534,"(0.074,0.109)",different
diff. SGs,Bi4 O12 Ti3,33936,9,mp-558277,99988,7,mp-723064,0.00373,0.113,0.0754,"(0.145,0.268)",different
diff. SGs,Bi4 O12 Ti3,33936,9,mp-558277,3657,41,mp-23427,0.00279,0.167,0.129,"(0.158,0.298)",different
diff. SGs,Bi4 O12 Ti3,99988,7,mp-723064,3657,41,mp-23427,0.00652,0.0534,0.0536,"(0.0522,0.0996)",similar
diff. SGs,H4 O3 Sr1,151102,4,mp-626727,88680,26,mp-28420,0.00213,0.0042,0.0928,"(0.0984,0.188)",similar
diff. SGs,Sn1,22812,229,mp-7162,19069,139,mp-55,0.0227,0.0997,0.178,"(0,0)",different
diff. SGs,Ca1 Cl2,6263,136,mp-22904,6262,58,mp-23214,0.000124,0.0401,0.214,"(0.0516,0.0631)",similar
diff. SGs,I1 K1 O3,34388,221,mp-558843,28220,160,mp-552729,0.201,2.57,3.78,"(0.112,0.122)",different
diff. SGs,Ca5 Cl1 O12 P3,87307,173,mp-39460,35254,176,mp-554236,0.00183,0.078,0.0503,"(0.0818,0.206)",similar
diff. SGs,Fe7 S8,174906,4,mp-850411,152959,14,mp-685128,0.00819,0,0.142,"(0.0308,0.0602)",similar
diff. SGs,Fe7 S8,42609,144,mp-21688,42593,152,mp-556435,0.0176,0.0228,0.425,"(0.0751,0.2)",different
diff. SGs,Co1 K1 O2,33568,122,mp-18895,85943,82,mp-557137,0.00982,0.0613,0.596,"(0.0666,0.0942)",similar
diff. SGs,O8 W3,84830,65,mp-19066,154936,8,mp-715557,0.011,0.728,0.0553,"(0.0157,0.0227)",different
diff. SGs,Ba1 La1 O6 Ru1 Zn1,55312,82,mp-677191,54915,1,mp-39259,0.00229,0.0458,0.123,"(0.0528,0.0817)",similar
diff. SGs,Na1 O11 V6,39380,36,mp-567072,39379,186,mp-25156,0.0168,0.575,0.148,"(0.0257,0.0472)",different
diff. SGs,Na1 O11 V6,39380,36,mp-567072,35130,194,mp-510616,0.0155,0.509,0.14,"(0.0349,0.0679)",different
diff. SGs,Na1 O11 V6,39379,186,mp-25156,35130,194,mp-510616,0.00128,0.0667,0.00827,"(0.0231,0.0339)",similar
diff. SGs,Cr1 O2,2615,136,mp-19177,2616,58,mp-715488,0.0849,0.0353,0.194,"(0.038,0.0466)",different
diff. SGs,Cr1 O2,87812,166,mp-25499,154922,12,mp-714929,0.0305,0.0835,0.543,"(0.0389,0.0511)",different
diff. SGs,O4 S1 Sn1,85499,2,mp-645774,35740,14,mp-645709,0.0068,0.218,0.374,"(0.159,0.277)",different
diff. SGs,O4 S1 Sn1,85499,2,mp-645774,31104,62,mp-542967,0.0115,0.0525,0.41,"(0.101,0.146)",different
diff. SGs,O4 S1 Sn1,35740,14,mp-645709,31104,62,mp-542967,0.00468,0.166,0.0362,"(0.174,0.242)",different
diff. SGs,Cu1 F4 K2,44076,140,mp-560238,39719,142,mp-2865,0.00351,0.23,0.134,"(0.0287,0.0594)",different
diff. SGs,H2 O4 P1 Tl1,106705,60,mp-643701,89857,14,mp-690711,0.00487,0.281,0.49,"(0.109,0.202)",different
diff. SGs,Ba1 O3 Pb1,11834,12,mp-20461,5587,140,mp-20991,0.00284,0.176,0.057,"(0.0454,0.0718)",different
diff. SGs,Ba1 O3 Pb1,11834,12,mp-20461,1941,74,mp-22230,8.57e-05,0.0375,0.00972,"(0.0248,0.0352)",similar
diff. SGs,Ba1 O3 Pb1,5587,140,mp-20991,1941,74,mp-22230,0.00275,0.139,0.0473,"(0.0571,0.0939)",different
diff. SGs,Cl4 K2 Zn1,15349,33,mp-618177,38492,62,mp-653454,0.00056,0.0039,0.178,"(0.0309,0.0427)",similar
diff. SGs,Ba1 O3 Tb1,42513,167,mp-548824,21080,74,mp-5735,0.000987,0,0.00268,"(0.0508,0.0838)",similar
diff. SGs,Ba1 O3 Tb1,42513,167,mp-548824,31359,140,mp-2939,0.00365,0,0.0518,"(0.0633,0.091)",similar
diff. SGs,Ba1 O3 Tb1,42513,167,mp-548824,19550,62,mp-20129,0.000456,0.008,0.00356,"(0.0896,0.127)",similar
diff. SGs,Ba1 O3 Tb1,21080,74,mp-5735,31359,140,mp-2939,0.00464,0,0.0544,"(0.0621,0.103)",similar
diff. SGs,Ba1 O3 Tb1,21080,74,mp-5735,19550,62,mp-20129,0.000531,0.008,0.000882,"(0.0513,0.0737)",similar
diff. SGs,Ba1 O3 Tb1,31359,140,mp-2939,19550,62,mp-20129,0.00411,0.008,0.0553,"(0.101,0.162)",similar
diff. SGs,O2 Se1,46888,55,mp-638005,14909,135,mp-726,0.0476,0.139,1.6,"(0.133,0.201)",different
diff. SGs,Cr1 F3 K1,86560,87,mp-560547,32294,12,mp-566698,0.00466,0.088,0.121,"(0.0472,0.0749)",similar
diff. SGs,Cr1 F3 K1,84820,221,mp-555036,1063,123,mp-566131,0.0538,1.1,0.393,"(9.98e-06,1.48e-05)",different
diff. SGs,Cs1 Li1 O4 S1,17179,14,mp-6726,10402,62,mp-6597,0.00328,0.0848,0.0162,"(0.0787,0.132)",similar
diff. SGs,C4 O4 Ru1,150434,45,mp-616541,13197,72,mp-655353,0.000355,0.0086,0.133,"(0.0134,0.0211)",similar
diff. SGs,Ca1 O4 S1,85999,181,mp-556372,3583,180,mp-3082,1.74e-05,0.0124,0.00205,"(0.00383,0.00563)",similar
diff. SGs,Al4 Fe1 Na6 O26 Si8,152900,5,mp-705484,57328,1,mp-42298,0.00072,0.196,0.00844,"(0.0339,0.0682)",different
diff. SGs,Al2 Ba1 O4,39433,182,mp-3828,14294,173,mp-4202,0.0036,0.155,0.038,"(0.0703,0.162)",different
diff. SGs,Al2 Ca1 H4 O10 Si2,88438,62,mp-505288,3585,33,mp-24603,0.00153,0.0234,0.0195,"(0.0448,0.1)",similar
diff. SGs,O3 Sr1 Zr1,42597,63,mp-3626,12210,62,mp-4387,0.00816,0.204,0.0484,"(0.0876,0.15)",different
